ID,Name,1,2,3,4,5,6,7,8,9
1,1,Present,Present,Present,Present,Present,Present,Present,Present,Present
2,2,Present,Present,Present,Present,Present,Present,-,Present,-
3,3,Present,Present,-,Present,Present,Present,-,Present,Present
4,4,Present,Present,Present,-,-,-,-,-,Present
5,5,Present,Present,Present,-,Present,Present,-,Present,Present
6,6,Present,Present,Present,Present,-,Present,Present,Present,Present
7,7,Present,Present,-,-,Present,Present,Present,-,Present
8,8,Present,-,Present,Present,Present,Present,Present,Present,-
9,9,Present,Present,-,-,Present,Present,Present,Present,Present
10,10,Present,-,Present,-,Present,Present,-,Present,-
11,11,Present,Present,-,Present,Present,Present,-,Present,Present
12,12,Present,Present,Present,Present,Present,Present,Present,Present,-
13,13,Present,Present,Present,Present,Present,Present,-,Present,Present
14,14,Present,-,-,Present,-,-,-,-,-
15,15,Present,Present,Present,-,Present,Present,-,Present,-
16,16,Present,Present,Present,Present,Present,Present,Present,-,-
17,17,-,Present,-,-,-,-,-,Present,Present
18,18,Present,Present,Present,-,-,-,Present,-,Present
19,19,Present,Present,-,Present,Present,Present,Present,Present,Present
20,20,Present,Present,-,Present,Present,-,Present,-,Present
21,21,Present,Present,Present,Present,Present,Present,Present,Present,Present
22,22,Present,Present,Present,Present,Present,Present,Present,Present,Present
23,23,Present,Present,Present,Present,Present,Present,Present,Present,Present
24,24,Present,Present,Present,Present,Present,Present,Present,Present,Present
25,25,Present,Present,Present,-,Present,Present,Present,-,Present
26,26,Present,Present,Present,Present,-,Present,Present,Present,Present
27,27,Present,Present,Present,Present,Present,Present,Present,Present,Present
28,28,Present,Present,Present,Present,Present,Present,-,Present,Present
29,29,Present,Present,Present,Present,Present,Present,Present,-,Present
30,30,Present,Present,Present,-,Present,Present,Present,Present,Present
31,31,Present,Present,Present,Present,Present,-,Present,Present,Present
32,32,Present,Present,Present,Present,Present,Present,Present,Present,Present
33,33,Present,-,Present,Present,Present,Present,Present,Present,Present
34,34,Present,Present,Present,Present,Present,Present,Present,Present,Present
35,35,-,Present,-,-,Present,-,Present,Present,Present
36,36,Present,Present,Present,Present,-,Present,Present,Present,-
37,37,Present,Present,Present,Present,Present,Present,Present,Present,-
38,38,-,-,Present,Present,Present,Present,Present,Present,Present
39,39,-,-,Present,Present,Present,Present,-,Present,Present
40,40,-,-,Present,-,Present,Present,-,Present,Present
41,41,-,-,-,-,Present,Present,-,Present,Present
42,42,-,Present,Present,Present,Present,Present,Present,Present,Present
43,43,-,-,-,-,-,-,-,-,Present
44,44,-,-,-,-,Present,Present,-,-,-
45,45,Present,Present,Present,Present,Present,Present,Present,Present,Present
48,48,-,-,-,-,-,Present,Present,Present,-
51,46,Present,Present,Present,Present,Present,Present,Present,Present,Present
52,47,Present,Present,Present,Present,Present,Present,Present,Present,Present
53,49,-,-,-,Present,Present,Present,-,Present,Present
54,50,-,-,Present,Present,Present,-,Present,Present,-
55,51,-,Present,Present,Present,Present,Present,Present,Present,Present
56,52,-,Present,-,-,Present,Present,-,Present,Present
57,53,-,Present,-,Present,Present,-,Present,-,Present
58,54,Present,Present,Present,-,Present,Present,Present,Present,Present
59,55,Present,Present,-,Present,Present,-,Present,Present,-
